every, 18, 0.0723502%
duke, 18, 0.0723502%
death, 18, 0.0723502%
daughter, 18, 0.0723502%
comes, 18, 0.0723502%
Well, 18, 0.0723502%
There, 18, 0.0723502%
Let, 18, 0.0723502%
How, 18, 0.0723502%
France, 18, 0.0723502%
noble, 17, 0.0683307%
master, 17, 0.0683307%
majesty, 17, 0.0683307%
made, 17, 0.0683307%
lordship, 17, 0.0683307%
himself, 17, 0.0683307%
court, 17, 0.0683307%
business, 17, 0.0683307%
been, 17, 0.0683307%
art, 17, 0.0683307%
Tis, 17, 0.0683307%
No, 17, 0.0683307%
Do, 17, 0.0683307%
world, 16, 0.0643113%
sweet, 16, 0.0643113%
old, 16, 0.0643113%
none, 16, 0.0643113%
marry, 16, 0.0643113%
indeed, 16, 0.0643113%
i, 16, 0.0643113%
house, 16, 0.0643113%
home, 16, 0.0643113%
grace, 16, 0.0643113%
fair, 16, 0.0643113%
down, 16, 0.0643113%
Where, 16, 0.0643113%
Helen, 16, 0.0643113%
whom, 15, 0.0602918%
virginity, 15, 0.0602918%
true, 15, 0.0602918%
power, 15, 0.0602918%
palace, 15, 0.0602918%
men, 15, 0.0602918%
fool, 15, 0.0602918%
day, 15, 0.0602918%
bring, 15, 0.0602918%
better, 15, 0.0602918%
against, 15, 0.0602918%
after, 15, 0.0602918%
Your, 15, 0.0602918%
Nay, 15, 0.0602918%
way, 14, 0.0562724%
though, 14, 0.0562724%
set, 14, 0.0562724%
help, 14, 0.0562724%
blood, 14, 0.0562724%
She, 14, 0.0562724%
Not, 14, 0.0562724%
Here, 14, 0.0562724%
Good, 14, 0.0562724%
Come, 14, 0.0562724%
word, 13, 0.0522529%
woman, 13, 0.0522529%
things, 13, 0.0522529%
therefore, 13, 0.0522529%
service, 13, 0.0522529%
rather, 13, 0.0522529%
past, 13, 0.0522529%
lost, 13, 0.0522529%
lose, 13, 0.0522529%
knows, 13, 0.0522529%
husband, 13, 0.0522529%
further, 13, 0.0522529%
friends, 13, 0.0522529%
found, 13, 0.0522529%
Thou, 13, 0.0522529%
Now, 13, 0.0522529%
All, 13, 0.0522529%
yours, 12, 0.0482334%
place, 12, 0.0482334%
nor, 12, 0.0482334%
myself, 12, 0.0482334%
look, 12, 0.0482334%
itself, 12, 0.0482334%
die, 12, 0.0482334%
dear, 12, 0.0482334%
captain, 12, 0.0482334%
believe, 12, 0.0482334%
Who, 12, 0.0482334%
Shall, 12, 0.0482334%
Parolles, 12, 0.0482334%
Go, 12, 0.0482334%
who, 11, 0.044214%
war, 11, 0.044214%
virtue, 11, 0.044214%
under, 11, 0.044214%
those, 11, 0.044214%
thank, 11, 0.044214%
sure, 11, 0.044214%
said, 11, 0.044214%
ourselves, 11, 0.044214%
little, 11, 0.044214%
letter, 11, 0.044214%
high, 11, 0.044214%
greatest, 11, 0.044214%
gave, 11, 0.044214%
forth, 11, 0.044214%
ere, 11, 0.044214%
bed, 11, 0.044214%
Our, 11, 0.044214%
French, 11, 0.044214%
youth, 10, 0.0401945%
within, 10, 0.0401945%
wars, 10, 0.0401945%
use, 10, 0.0401945%
thoughts, 10, 0.0401945%
swear, 10, 0.0401945%
still, 10, 0.0401945%
stand, 10, 0.0401945%
return, 10, 0.0401945%
please, 10, 0.0401945%
mistress, 10, 0.0401945%
matter, 10, 0.0401945%
loved, 10, 0.0401945%
lack, 10, 0.0401945%
honesty, 10, 0.0401945%
honest, 10, 0.0401945%
hast, 10, 0.0401945%
fear, 10, 0.0401945%
eyes, 10, 0.0401945%
enter, 10, 0.0401945%
dead, 10, 0.0401945%
dare, 10, 0.0401945%
call, 10, 0.0401945%
brother, 10, 0.0401945%
being, 10, 0.0401945%
ask, 10, 0.0401945%
another, 10, 0.0401945%
They, 10, 0.0401945%
Sir, 10, 0.0401945%
Reads, 10, 0.0401945%
Paris, 10, 0.0401945%
May, 10, 0.0401945%
Farewell, 10, 0.0401945%
DUKE, 10, 0.0401945%
Count, 10, 0.0401945%
Be, 10, 0.0401945%
yourself, 9, 0.0361751%
worthy, 9, 0.0361751%
without, 9, 0.0361751%
till, 9, 0.0361751%
thought, 9, 0.0361751%
thing, 9, 0.0361751%
sword, 9, 0.0361751%
sense, 9, 0.0361751%
send, 9, 0.0361751%
seem, 9, 0.0361751%
save, 9, 0.0361751%
pleasure, 9, 0.0361751%
part, 9, 0.0361751%
pardon, 9, 0.0361751%
only, 9, 0.0361751%
letters, 9, 0.0361751%
knew, 9, 0.0361751%
hour, 9, 0.0361751%
general, 9, 0.0361751%
full, 9, 0.0361751%
friend, 9, 0.0361751%
fellow, 9, 0.0361751%
far, 9, 0.0361751%
eye, 9, 0.0361751%
demand, 9, 0.0361751%
charge, 9, 0.0361751%
born, 9, 0.0361751%
best, 9, 0.0361751%
beseech, 9, 0.0361751%
Yet, 9, 0.0361751%
Will, 9, 0.0361751%
Was, 9, 0.0361751%
Steward, 9, 0.0361751%
From, 9, 0.0361751%
Flourish, 9, 0.0361751%
Captain, 9, 0.0361751%
wish, 8, 0.0321556%
wear, 8, 0.0321556%
understand, 8, 0.0321556%
tongue, 8, 0.0321556%
thousand, 8, 0.0321556%
thanks, 8, 0.0321556%
ten, 8, 0.0321556%
spoke, 8, 0.0321556%
soldier, 8, 0.0321556%
since, 8, 0.0321556%
show, 8, 0.0321556%
prove, 8, 0.0321556%
pity, 8, 0.0321556%
oft, 8, 0.0321556%
oaths, 8, 0.0321556%
need, 8, 0.0321556%
loves, 8, 0.0321556%
long, 8, 0.0321556%
known, 8, 0.0321556%
keep, 8, 0.0321556%
holy, 8, 0.0321556%
hold, 8, 0.0321556%
got, 8, 0.0321556%
fire, 8, 0.0321556%
fine, 8, 0.0321556%
farewell, 8, 0.0321556%
faith, 8, 0.0321556%
enough, 8, 0.0321556%
